subject,predicate,object
Universal Declaration of Human Rights,dc:identifier,item001
Universal Declaration of Human Rights,dc:title,Universal Declaration of Human Rights
Universal Declaration of Human Rights,dc:type,Full-text Document
Universal Declaration of Human Rights,dc:creator,United Nations General Assembly
Universal Declaration of Human Rights,schema:datePublished,10.12.1948
Universal Declaration of Human Rights,dc:language ,English
Universal Declaration of Human Rights,schema:encodingFormat,HTML / PDF
Universal Declaration of Human Rights,schema:license,Public domain
Universal Declaration of Human Rights,schema:url ,https://www.un.org/en/about-us/universal-declaration-of-human-rights
